Trench Name,  Max Depth (m)
Yap Trench,8527
Vityaz Trench,6150
Tonga Trench,10820
South Sandwich Trench,8265
Ryukyu Trench,5212
Romanche Trench,7760
Puysegur Trench,6300
Puerto Rico Trench,8380
Philippine Trench,10540
Peru-Chile Trench,8055
New Britain Trench,9140
Middle America Trench,6669
Mariana Trench (Challenger Deep),10920
Manila Trench,5400
Kuril-Kamchatka Trench,10542
Kermadec Trench,10047
Java Trench,7455
Japan Trench,8412
Izu-Bonin Trench,9810
Aleutian Trench,7679
